Damages using RICE 2010 model damage functions and historic GDP data for the 1990-2004 period,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,US,Europe,Japan,OHI,Russia,Eurasia,China,India,MidEast,Africa,LatAm,Oasia
Cumulative damages in trillions 2017$ by 2005 ,0.141137149,0.209129647,0.156343108,0.040777111,0.020493232,0.016293684,0.069006683,0.144491918,0.101740931,0.142010785,0.094492131,0.119098397
Shares,0.112458555,0.166635207,0.124574715,0.03249134,0.016329077,0.012982862,0.054984758,0.115131647,0.081067517,0.113154671,0.075291648,0.094898004
,,,,,,,,,,,,
,US,Europe,Japan,OHI,Russia,Eurasia,China,India,MidEast,Africa,LatAm,Oasia
2005-2015,0,0,0,0,0,0,0,0,0,0,0,0
2015-2025,0,0,0,0,0,0,0,0,0,0,0,0
2025-2035,0,0,0,0,0,0,0,0,0,0,0,0
2035-2045,0,0,0,0,0,0,0,0,0,0,0,0
2045-2055,0,0,0,0,0,0,0,0,0,0,0,0
2055-2065,0,0,0,0,0,0,0,0,0,0,0,0
2065-2075,0,0,0,0,0,0,0,0,0,0,0,0
2075-2085,0,0,0,0,0,0,0,0,0,0,0,0
2085-2095,0,0,0,0,0,0,0,0,0,0,0,0
2095-2105,0,0,0,0,0,0,0,0,0,0,0,0
2105-2115,0,0,0,0,0,0,0,0,0,0,0,0
2115-2025,0,0,0,0,0,0,0,0,0,0,0,0
2125-2135,0,0,0,0,0,0,0,0,0,0,0,0
2135-2145,0,0,0,0,0,0,0,0,0,0,0,0
2145-2155,0,0,0,0,0,0,0,0,0,0,0,0
2155-2165,0,0,0,0,0,0,0,0,0,0,0,0
2165-2175,0,0,0,0,0,0,0,0,0,0,0,0
2175-2185,0,0,0,0,0,0,0,0,0,0,0,0
2185-2195,0,0,0,0,0,0,0,0,0,0,0,0
2195-2205,0,0,0,0,0,0,0,0,0,0,0,0
2205-2215,0,0,0,0,0,0,0,0,0,0,0,0
2215-2225,0,0,0,0,0,0,0,0,0,0,0,0
2225-2235,0,0,0,0,0,0,0,0,0,0,0,0
2235-2245,0,0,0,0,0,0,0,0,0,0,0,0
2245-2255,0,0,0,0,0,0,0,0,0,0,0,0
2255-2265,0,0,0,0,0,0,0,0,0,0,0,0
2265-2275,0,0,0,0,0,0,0,0,0,0,0,0
2275-2285,0,0,0,0,0,0,0,0,0,0,0,0
2285-2295,0,0,0,0,0,0,0,0,0,0,0,0
2295-2305,0,0,0,0,0,0,0,0,0,0,0,0
2305-2315,0,0,0,0,0,0,0,0,0,0,0,0
2315-2325,0,0,0,0,0,0,0,0,0,0,0,0
2325-2335,0,0,0,0,0,0,0,0,0,0,0,0
2335-2345,0,0,0,0,0,0,0,0,0,0,0,0
2345-2355,0,0,0,0,0,0,0,0,0,0,0,0
2355-2365,0,0,0,0,0,0,0,0,0,0,0,0
2365-2375,0,0,0,0,0,0,0,0,0,0,0,0
2375-2385,0,0,0,0,0,0,0,0,0,0,0,0
2385-2395,0,0,0,0,0,0,0,0,0,0,0,0
2395-2405,0,0,0,0,0,0,0,0,0,0,0,0
2405-2415,0,0,0,0,0,0,0,0,0,0,0,0
2415-2425,0,0,0,0,0,0,0,0,0,0,0,0
2425-2435,0,0,0,0,0,0,0,0,0,0,0,0
2435-2445,0,0,0,0,0,0,0,0,0,0,0,0
2445-2455,0,0,0,0,0,0,0,0,0,0,0,0
2455-2465,0,0,0,0,0,0,0,0,0,0,0,0
2465-2475,0,0,0,0,0,0,0,0,0,0,0,0
2475-2485,0,0,0,0,0,0,0,0,0,0,0,0
2485-2495,0,0,0,0,0,0,0,0,0,0,0,0
2495-2505,0,0,0,0,0,0,0,0,0,0,0,0
2505-2515,0,0,0,0,0,0,0,0,0,0,0,0
2515-2525,0,0,0,0,0,0,0,0,0,0,0,0
2525-2535,0,0,0,0,0,0,0,0,0,0,0,0
2535-2545,0,0,0,0,0,0,0,0,0,0,0,0
2545-2555,0,0,0,0,0,0,0,0,0,0,0,0
2555-2565,0,0,0,0,0,0,0,0,0,0,0,0
2565-2575,0,0,0,0,0,0,0,0,0,0,0,0
2575-2585,0,0,0,0,0,0,0,0,0,0,0,0
2585-2595,0,0,0,0,0,0,0,0,0,0,0,0
2595-2605,0,0,0,0,0,0,0,0,0,0,0,0