Cumulative fossil CO2 emissions from 1990-2004 GtCO2,,,,,,,,,,,,
Conversion factor from CO2 eq to C,3.67,,,,,,,,,,,
,US,Europe,Japan,OHI,Russia,Eurasia,China,India,MidEast,Africa,LatAm,Oasia
Gt CO2 eq,84.24583892,64.24704914,18.44512288,20.26297964,25.65468095,18.02280109,52.69426669,12.68291276,15.38650548,12.65303973,18.24332423,12.95954398
Gt C eq,22.95526946,17.50600794,5.02591904,5.521247857,6.990376281,4.910844984,14.35811081,3.45583454,4.192508305,3.447694748,4.970933032,3.531210895
Shares,0.236979739,0.180724047,0.051885297,0.056998846,0.072165459,0.050697325,0.148226592,0.035676461,0.043281545,0.035592429,0.051317647,0.036454612
,,,,,,,,,,,,
GT C for PP scenario,US,Europe,Japan,OHI,Russia,Eurasia,China,India,MidEast,Africa,LatAm,Oasia
2005-2015,22.95526946,17.50600794,5.02591904,5.521247857,6.990376281,4.910844984,14.35811081,3.45583454,4.192508305,3.447694748,4.970933032,3.531210895
2015-2025,0,0,0,0,0,0,0,0,0,0,0,0
2025-2035,0,0,0,0,0,0,0,0,0,0,0,0
2035-2045,0,0,0,0,0,0,0,0,0,0,0,0
2045-2055,0,0,0,0,0,0,0,0,0,0,0,0
2055-2065,0,0,0,0,0,0,0,0,0,0,0,0
2065-2075,0,0,0,0,0,0,0,0,0,0,0,0
2075-2085,0,0,0,0,0,0,0,0,0,0,0,0
2085-2095,0,0,0,0,0,0,0,0,0,0,0,0
2095-2105,0,0,0,0,0,0,0,0,0,0,0,0
2105-2115,0,0,0,0,0,0,0,0,0,0,0,0
2115-2025,0,0,0,0,0,0,0,0,0,0,0,0
2125-2135,0,0,0,0,0,0,0,0,0,0,0,0
2135-2145,0,0,0,0,0,0,0,0,0,0,0,0
2145-2155,0,0,0,0,0,0,0,0,0,0,0,0
2155-2165,0,0,0,0,0,0,0,0,0,0,0,0
2165-2175,0,0,0,0,0,0,0,0,0,0,0,0
2175-2185,0,0,0,0,0,0,0,0,0,0,0,0
2185-2195,0,0,0,0,0,0,0,0,0,0,0,0
2195-2205,0,0,0,0,0,0,0,0,0,0,0,0
2205-2215,0,0,0,0,0,0,0,0,0,0,0,0
2215-2225,0,0,0,0,0,0,0,0,0,0,0,0
2225-2235,0,0,0,0,0,0,0,0,0,0,0,0
2235-2245,0,0,0,0,0,0,0,0,0,0,0,0
2245-2255,0,0,0,0,0,0,0,0,0,0,0,0
2255-2265,0,0,0,0,0,0,0,0,0,0,0,0
2265-2275,0,0,0,0,0,0,0,0,0,0,0,0
2275-2285,0,0,0,0,0,0,0,0,0,0,0,0
2285-2295,0,0,0,0,0,0,0,0,0,0,0,0
2295-2305,0,0,0,0,0,0,0,0,0,0,0,0
2305-2315,0,0,0,0,0,0,0,0,0,0,0,0
2315-2325,0,0,0,0,0,0,0,0,0,0,0,0
2325-2335,0,0,0,0,0,0,0,0,0,0,0,0
2335-2345,0,0,0,0,0,0,0,0,0,0,0,0
2345-2355,0,0,0,0,0,0,0,0,0,0,0,0
2355-2365,0,0,0,0,0,0,0,0,0,0,0,0
2365-2375,0,0,0,0,0,0,0,0,0,0,0,0
2375-2385,0,0,0,0,0,0,0,0,0,0,0,0
2385-2395,0,0,0,0,0,0,0,0,0,0,0,0
2395-2405,0,0,0,0,0,0,0,0,0,0,0,0
2405-2415,0,0,0,0,0,0,0,0,0,0,0,0
2415-2425,0,0,0,0,0,0,0,0,0,0,0,0
2425-2435,0,0,0,0,0,0,0,0,0,0,0,0
2435-2445,0,0,0,0,0,0,0,0,0,0,0,0
2445-2455,0,0,0,0,0,0,0,0,0,0,0,0
2455-2465,0,0,0,0,0,0,0,0,0,0,0,0
2465-2475,0,0,0,0,0,0,0,0,0,0,0,0
2475-2485,0,0,0,0,0,0,0,0,0,0,0,0
2485-2495,0,0,0,0,0,0,0,0,0,0,0,0
2495-2505,0,0,0,0,0,0,0,0,0,0,0,0
2505-2515,0,0,0,0,0,0,0,0,0,0,0,0
2515-2525,0,0,0,0,0,0,0,0,0,0,0,0
2525-2535,0,0,0,0,0,0,0,0,0,0,0,0
2535-2545,0,0,0,0,0,0,0,0,0,0,0,0
2545-2555,0,0,0,0,0,0,0,0,0,0,0,0
2555-2565,0,0,0,0,0,0,0,0,0,0,0,0
2565-2575,0,0,0,0,0,0,0,0,0,0,0,0
2575-2585,0,0,0,0,0,0,0,0,0,0,0,0
2585-2595,0,0,0,0,0,0,0,0,0,0,0,0
2595-2605,0,0,0,0,0,0,0,0,0,0,0,0