Copying structure from population file,,,,,,,,,,,,,
Note: 2005-2015 values correspond to initial population levels in RICE2010.,,,,,,,,,,,,,
,,,,,,,,,,,,,
RICE Period,Year,US,Europe,Japan,Russia,Eurasia,China,India,MidEast,Africa,LatAm,OHI,Oasia
1,2005-2015,0.236718779,0.132572426,-0.105314817,0.016791137,0.084385675,0.063312438,0.030210724,-0.126814548,-0.074145279,-0.114383286,-0.046872834,-0.096460415
2,2015-2025,0.042969973,0.022442559,-0.015820799,0.003806276,0.015319393,0.005375749,0.003579457,-0.022483865,-0.012861023,-0.018500484,-0.007940961,-0.015886273
3,2025-2035,0.085332142,0.043212302,-0.022443412,0.009407869,0.030277276,-0.006752057,0.00174624,-0.043125744,-0.025520478,-0.03093062,-0.013520187,-0.02768333
4,2035-2045,0.158696197,0.081511579,-0.024589048,0.020790508,0.055624905,-0.043562927,-0.00704483,-0.076734148,-0.052436036,-0.046889233,-0.019978038,-0.045388928
5,2045-2055,0.27283528,0.146532219,-0.018131493,0.040061593,0.093938303,-0.110623653,-0.026367456,-0.126014968,-0.108753157,-0.066097804,-0.0257101,-0.071668765
6,2055-2065,0.437109077,0.248046985,-0.001339423,0.068764748,0.14750242,-0.20466275,-0.057400615,-0.192719935,-0.217100837,-0.088874824,-0.02931271,-0.110012136
7,2065-2075,0.659039693,0.394388847,0.026557454,0.107918313,0.217992552,-0.318791415,-0.098553292,-0.276495165,-0.405109254,-0.114562889,-0.029595986,-0.162788858
8,2075-2085,0.944972343,0.591926102,0.066047987,0.158082037,0.306559645,-0.447138767,-0.145807321,-0.375220059,-0.702386051,-0.141070385,-0.025459597,-0.230505932
9,2085-2095,1.298954207,0.844675062,0.117355817,0.21916,0.413483129,-0.586151731,-0.193584229,-0.485271612,-1.135879074,-0.165161394,-0.015967191,-0.311612984
10,2095-2105,1.720840387,1.153860936,0.180384187,0.290280068,0.537840989,-0.734800844,-0.235690338,-0.601662229,-1.724299008,-0.183220617,-6.13E-04,-0.40292045
11,2105-2115,2.201459598,1.51125087,0.253146274,0.370041614,0.676408387,-0.907222578,-0.275205955,-0.718712831,-2.431854843,-0.195460045,0.020589243,-0.504439734
12,2115-2025,2.725452956,1.904890424,0.333277656,0.456305553,0.824941836,-1.104756196,-0.312200699,-0.832280345,-3.227002206,-0.201007397,0.046728705,-0.614350286
13,2125-2135,3.2790504,2.324649155,0.418699922,0.546883729,0.979641108,-1.327076492,-0.345682304,-0.939426758,-4.08535788,-0.198935137,0.077092415,-0.729538157
14,2135-2145,3.877473213,2.767809909,0.508334026,0.643580987,1.143488191,-1.570771822,-0.376666075,-1.039289588,-5.004630943,-0.19792652,0.111203505,-0.862604883
15,2145-2155,4.491910937,3.220798038,0.600291501,0.741961841,1.309073631,-1.84100779,-0.399039163,-1.127151042,-5.958882164,-0.189115543,0.147885509,-0.996725755
16,2155-2165,5.134443679,3.691907157,0.69615323,0.844166118,1.480306766,-2.143750135,-0.412687577,-1.206880145,-6.963628116,-0.172956473,0.187135568,-1.134210072
17,2165-2175,5.811823748,4.186105746,0.796912312,0.951412638,1.659398621,-2.482015562,-0.417099104,-1.280445061,-8.029077936,-0.149567896,0.229072188,-1.276519693
18,2175-2185,6.529822167,4.707864471,0.903454285,1.064726027,1.848182978,-2.858089411,-0.411861378,-1.349291363,-9.16455287,-0.119028869,0.273926653,-1.425152691
19,2185-2195,7.293178954,5.26096363,1.016522278,1.184935758,2.048128259,-3.273695035,-0.396626095,-1.414433598,-10.37801327,-0.081378898,0.321965016,-1.581546999
20,2195-2205,8.105535413,5.848380747,1.13669749,1.312673252,2.260343328,-3.730046808,-0.371084832,-1.476534342,-11.67577561,-0.036626953,0.373440674,-1.747002358
21,2205-2215,8.969561765,6.472358396,1.264413819,1.448399512,2.485633432,-4.227930838,-0.334968326,-1.536004609,-13.06260194,0.015231864,0.428573333,-1.922666405
22,2215-2225,9.887149107,7.134535068,1.399984671,1.59244123,2.724567757,-4.767794544,-0.288050955,-1.593091133,-14.54193787,0.074202703,0.487542619,-2.109548655
23,2225-2235,10.85960775,7.836087524,1.543632047,1.745026146,2.97754336,-5.349837028,-0.230152716,-1.64794215,-16.1161935,0.14028333,0.55048944,-2.308544198
24,2235-2245,11.88784776,8.577863053,1.695513621,1.906314236,3.244840265,-5.97409526,-0.161136504,-1.700652882,-17.78701873,0.213462101,0.617521162,-2.52045882
25,2245-2255,12.97253313,9.36049375,1.855746173,2.076423723,3.526666667,-6.640522439,-0.080901115,-1.751294759,-19.55555136,0.293720052,0.688718371,-2.746032188
26,2255-2265,14.114208,10.18449114,2.024424992,2.255452041,3.823194847,-7.349056201,0.01062863,-1.799932713,-21.42263008,0.381035474,0.764141976,-2.985958102
27,2265-2275,15.31879451,11.05419662,2.202414262,2.444350897,4.136043381,-8.102530255,0.113546132,-1.847309227,-23.39701476,0.475564095,0.844132676,-3.242188329
28,2275-2285,16.58156515,11.96625356,2.389049688,2.642372792,4.463948063,-8.898316045,0.227962801,-1.892778921,-25.47144596,0.577177102,0.928444445,-3.514232671
29,2285-2295,17.90140908,12.919909,2.584180639,2.849350065,4.80663196,-9.735593838,0.353896045,-1.936229808,-27.64405676,0.68579886,1.017015376,-3.802310621
30,2295-2305,19.27942351,13.91598266,2.787973144,3.065466013,5.164410726,-10.61477328,0.491389579,-1.977805865,-29.91630808,0.801436153,1.109899295,-4.107093858
31,2305-2315,20.7171723,14.95561125,3.000660901,3.290976514,5.537720144,-11.53660359,0.64053259,-2.01767163,-32.29036602,0.924139365,1.207173154,-4.429344984
32,2315-2325,22.21630795,16.03997944,3.222491004,3.526150107,5.927015057,-12.50196467,0.80145727,-2.055967839,-34.76853637,1.053988544,1.308917111,-4.7698376
33,2325-2335,23.77855626,17.17031246,3.453721765,3.771265871,6.332766098,-13.51184904,0.974336821,-2.092811582,-37.35325035,1.191090276,1.415214577,-5.129353155
34,2335-2345,25.40576702,18.34791569,3.694630102,4.026621692,6.755473822,-14.56738211,1.159385685,-2.128302442,-40.04715039,1.335578088,1.526155994,-5.50869314
35,2345-2355,27.09995854,19.5742091,3.945518057,4.292541462,7.195680941,-15.66984155,1.356860804,-2.162526883,-42.85316507,1.487613522,1.641842215,-5.908691135
36,2355-2365,28.86334542,20.85074919,4.206716913,4.569379578,7.653979956,-16.82066886,1.567062982,-2.19556048,-45.77455654,1.647386992,1.762386816,-6.330221969
37,2365-2375,30.69835325,22.17924108,4.478589401,4.857523332,8.131017235,-18.02147448,1.790337981,-2.227468806,-48.81494636,1.815118236,1.887917514,-6.774208382
38,2375-2385,32.60762506,23.56154422,4.761530686,5.157393988,8.627494864,-19.27403873,2.02707725,-2.258307661,-51.9783271,1.991056428,2.018576952,-7.241625956
39,2385-2395,34.59402306,24.99967461,5.055968687,5.469447117,9.144171262,-20.58031042,2.277718348,-2.288123035,-55.26906586,2.175480054,2.154523108,-7.733506936
40,2395-2405,36.66062818,26.49580506,5.362364029,5.794172559,9.681861165,-21.9424045,2.54274515,-2.316951023,-58.69190336,2.368696659,2.295929448,-8.250943373
41,2405-2415,38.81073856,28.05226459,5.681209863,6.132094237,10.24143536,-23.36259943,2.822687914,-2.344817754,-62.25195099,2.571042544,2.442984946,-8.795089834
42,2415-2425,41.04786793,29.67153759,6.013031656,6.483769946,10.82382039,-24.84333471,3.11812331,-2.371739393,-65.95468733,2.782882458,2.595894024,-9.367165874
43,2425-2435,43.3757444,31.35626308,6.358387021,6.849791192,11.4299983,-26.3872089,3.429674445,-2.39772218,-69.8059548,3.004609339,2.754876469,-9.968458359
44,2435-2445,45.79830969,33.10923436,6.717865643,7.230783123,12.06100659,-27.99697826,3.758010952,-2.422762528,-73.81195729,3.236644125,2.920167336,-10.60032374
45,2445-2455,48.31971927,34.93339903,7.0920893,7.627404578,12.71793833,-29.67555602,4.103849161,-2.446847144,-77.97925873,3.479435644,3.092016878,-11.26419031
46,2455-2465,50.94420346,36.83251097,7.481840741,8.04032698,13.40190736,-31.42615259,4.467876561,-2.469996555,-82.31498447,3.733432672,3.270659589,-11.96162472
47,2465-2475,53.67678965,38.80868437,7.88758051,8.470345271,14.11423181,-33.25181677,4.851060348,-2.492104095,-86.82629877,3.999204297,3.45644791,-12.69412453
48,2475-2485,56.52191929,40.86578579,8.310116425,8.918164246,14.85608004,-35.15593308,5.254171045,-2.513156737,-91.52066932,4.2772416,3.649632893,-13.46335219
49,2485-2495,59.48464215,43.00740743,8.750204626,9.384584047,15.62877853,-37.14206496,5.678118723,-2.533104652,-96.40614895,4.568107903,3.850526862,-14.27105171
50,2495-2505,62.57022716,45.23729928,9.208634241,9.870439514,16.43371112,-39.21393462,6.123862032,-2.55188862,-101.4911521,4.872394799,4.059457178,-15.11904998
51,2505-2515,65.78416981,47.55937418,9.686228491,10.37660138,17.27232099,-41.37542805,6.59240946,-2.569440233,-106.7844654,5.190722862,4.276766553,-16.00926006
52,2515-2525,69.13219987,49.97771323,10.18384585,10.9039775,18.14611278,-43.63060021,7.0848207,-2.58568205,-112.2952589,5.52374242,4.502813418,-16.94368457
53,2525-2535,72.62028908,52.496571,10.70238119,11.4535141,19.0566546,-45.98368039,7.602208079,-2.600527661,-118.0330975,5.872134373,4.737972276,-17.92441916
54,2535-2545,76.25465912,55.12038115,11.242767,12.02619708,20.00558022,-48.43907763,8.145738086,-2.613881723,-124.0079525,6.236611067,4.982634102,-18.95365594
55,2545-2555,80.04179007,57.85376223,11.80597462,12.6230533,20.99459129,-51.00138674,8.716633016,-2.625639941,-130.2302147,6.617917239,5.237206767,-20.03368717
56,2555-2565,83.98842938,60.70152395,12.39301566,13.24515208,22.02545975,-53.67539452,9.316172735,-2.635689016,-136.7107075,7.016831041,5.502115507,-21.16690905
57,2565-2575,88.10160148,63.66867387,13.00494336,13.89360672,23.10003039,-56.4660865,9.945696585,-2.643906565,-143.4607022,7.434165142,5.777803436,-22.35582573
58,2575-2585,92.38861788,66.76042446,13.64285416,14.5695761,24.22022348,-59.37865414,10.6066054,-2.650161004,-150.4919329,7.870767915,6.0647321,-23.60305343
59,2585-2595,96.85708796,69.98220065,14.30788932,15.27426641,25.38803772,-62.41850234,11.3003637,-2.654311398,-157.8166139,8.327524696,6.363382074,-24.91132486
60,2595-2605,101.5149303,73.33964774,15.00123661,16.00893294,26.60555314,-65.59125755,12.02850193,-2.656207289,-165.4474568,8.805359135,6.6742536,-26.28349377